,B_mag_0_0,G_mag_0_0,H_mag_0_0,J_mag_0_0,K_mag_0_0,Kepler_mag_0_0,Teff_0_0,V_mag_0_0,W1_mag_0_0,W2_mag_0_0,W3_mag_0_0,age_0_0,g_mag_0_0,i_mag_0_0,logL_0_0,logg_0_0,mass_0_0,r_mag_0_0,radius_0_0,z_mag_0_0,age_0,feh_0,distance_0,AV_0,B_mag,G_mag,H_mag,J_mag,K_mag,Kepler_mag,V_mag,W1_mag,W2_mag,W3_mag,g_mag,i_mag,r_mag,z_mag,lnprob
0,16.018210954,14.2530229805,11.8141292149,12.386804766,11.6444335656,14.2875827684,4684.69004388,14.8342213983,11.4952281221,11.4405754029,11.5765761036,10.0219555892,15.4974810466,13.9132143354,-1.05911233654,4.82968456981,0.496865974399,14.4128502163,0.449253446822,13.5959240438,10.0219555892,-2.12551123332,168.630088828,0.942067049956,16.018210954,14.2530229805,11.8141292149,12.386804766,11.6444335656,14.2875827684,14.8342213983,11.4952281221,11.4405754029,11.5765761036,15.4974810466,13.9132143354,14.4128502163,13.5959240438,-172.756156368
1,16.0901454751,14.2683240199,11.689703157,12.3503950206,11.5447751909,14.3038173913,4664.10137152,14.8647639411,11.4429835354,11.437996897,11.5795967317,10.0585127519,15.5471754226,13.9293273387,-0.927546230236,4.73168193575,0.546861980812,14.4199877065,0.5276087288,13.6110681998,10.0585127519,-1.03900106156,194.089815593,0.984689894098,16.0901454751,14.2683240199,11.689703157,12.3503950206,11.5447751909,14.3038173913,14.8647639411,11.4429835354,11.437996897,11.5795967317,15.5471754226,13.9293273387,14.4199877065,13.6110681998,-171.41462585
2,16.0447327064,14.2718488529,11.815115257,12.3999282988,11.6495323311,14.3076040737,4693.86488894,14.8549970722,11.5076540153,11.4606588306,11.6030592386,10.1365250527,15.5196158534,13.934023842,-1.02639763353,4.80507190892,0.500226523666,14.4320274931,0.463726033305,13.6167589607,10.1365250527,-1.91899966843,175.820474503,0.959854577816,16.0447327064,14.2718488529,11.815115257,12.3999282988,11.6495323311,14.3076040737,14.8549970722,11.5076540153,11.4606588306,11.6030592386,15.5196158534,13.934023842,14.4320274931,13.6167589607,-169.038817957
3,16.0390152282,14.2658451784,11.7836262984,12.3887815618,11.6225717324,14.292828313,4624.73394398,14.8380907766,11.4895021375,11.4537646328,11.5741126685,10.0008821548,15.5077558361,13.9218329196,-1.04842133003,4.80361454152,0.507417008105,14.4121043785,0.467831341888,13.6106912,10.0008821548,-1.67664177649,174.105810268,0.879565929648,16.0390152282,14.2658451784,11.7836262984,12.3887815618,11.6225717324,14.292828313,14.8380907766,11.4895021375,11.4537646328,11.5741126685,15.5077558361,13.9218329196,14.4121043785,13.6106912,-169.035827353
4,16.0220033297,14.258485168,11.822415501,12.3942789817,11.6544707865,14.297719506,4729.37074754,14.8450454505,11.5073733588,11.4531442094,11.6022991028,10.0757956918,15.5043896385,13.9237205811,-1.0257710652,4.81818924353,0.503412634021,14.4244718633,0.458227878239,13.6050003737,10.0757956918,-2.13363055742,173.761815169,0.987306292454,16.0220033297,14.258485168,11.822415501,12.3942789817,11.6544707865,14.297719506,14.8450454505,11.5073733588,11.4531442094,11.6022991028,15.5043896385,13.9237205811,14.4244718633,13.6050003737,-169.006021171
5,16.0285219049,14.2484031675,11.7856619596,12.3716897798,11.6198548549,14.2859877183,4701.41898925,14.836005579,11.4780691696,11.4312049645,11.5781485013,10.0014159952,15.5023011869,13.9106454865,-1.02481596064,4.81092851278,0.506031235904,14.4111406522,0.463274590179,13.5912882702,10.0014159952,-1.92191554801,173.300377028,0.978929000341,16.0285219049,14.2484031675,11.7856619596,12.3716897798,11.6198548549,14.2859877183,14.836005579,11.4780691696,11.4312049645,11.5781485013,15.5023011869,13.9106454865,14.4111406522,13.5912882702,-168.935806938
6,16.0851657517,14.2761323916,11.7190299726,12.367069847,11.5692330408,14.3071832636,4631.69916578,14.8642458729,11.4583531064,11.4449558288,11.57560998,10.01918642,15.5448137889,13.9329038472,-0.980928835534,4.76004591162,0.531041539269,14.4236155378,0.503217070736,13.6171611684,10.01918642,-1.23389990594,185.551681215,0.934780532426,16.0851657517,14.2761323916,11.7190299726,12.367069847,11.5692330408,14.3071832636,14.8642458729,11.4583531064,11.4449558288,11.57560998,15.5448137889,13.9329038472,14.4236155378,13.6171611684,-168.815796547
7,16.0254788926,14.2627937685,11.8167561161,12.4000300363,11.6541406279,14.3012936519,4736.75537215,14.8455231066,11.5157851631,11.4705839507,11.6225151326,10.0573400856,15.5037355036,13.9313299697,-0.99704852822,4.80002696355,0.511668050113,14.4261800386,0.471731353094,13.6156626136,10.0573400856,-1.89436706509,180.22998352,0.987515738,16.0254788926,14.2627937685,11.8167561161,12.4000300363,11.6541406279,14.3012936519,14.8455231066,11.5157851631,11.4705839507,11.6225151326,15.5037355036,13.9313299697,14.4261800386,13.6156626136,-168.801027561
8,16.0356184954,14.2703839039,11.802653865,12.4039982117,11.6470105023,14.3089757501,4746.24423776,14.8521679463,11.520710042,11.4877818167,11.6428207942,10.1244715652,15.5098083537,13.9426784521,-0.959346856296,4.77355382172,0.519786917976,14.43186534,0.490173508257,13.6290087042,10.1244715652,-1.62006194806,188.458897453,0.996138247211,16.0356184954,14.2703839039,11.802653865,12.4039982117,11.6470105023,14.3089757501,14.8521679463,11.520710042,11.4877818167,11.6428207942,15.5098083537,13.9426784521,14.43186534,13.6290087042,-168.736108728
9,16.0656811883,14.2698684534,11.8040606481,12.3789355146,11.6276466021,14.3032978238,4624.92630298,14.8605637781,11.4708153866,11.4116000831,11.5390340006,10.1173665731,15.5378240471,13.9193949427,-1.11267750586,4.84380137238,0.478384892928,14.4297182279,0.433712676913,13.5945136747,10.1173665731,-2.20504505431,159.4317494,0.930464301587,16.0656811883,14.2698684534,11.8040606481,12.3789355146,11.6276466021,14.3032978238,14.8605637781,11.4708153866,11.4116000831,11.5390340006,15.5378240471,13.9193949427,14.4297182279,13.5945136747,-168.527774868
